trying	 	 	14	266	0.00052448	 	0.13951168
suppose	 	 	14	267	0.00052448	 	0.14003616
through	 	 	14	268	0.00052448	 	0.14056064
beginning	 	 	14	269	0.00052448	 	0.14108512
set	 	 	14	270	0.00052448	 	0.1416096
sea	 	 	14	271	0.00052448	 	0.14213408
both	 	 	14	272	0.00052448	 	0.14265856
silence	 	 	14	273	0.00052448	 	0.14318304
us	 	 	14	274	0.00052448	 	0.14370752
didn't	 	 	14	275	0.00052448	 	0.144232
baby	 	 	14	276	0.00052448	 	0.14475648
ought	 	 	14	277	0.00052448	 	0.14528096
room	 	 	13	278	0.00048702	 	0.13539156
dodo	 	 	13	279	0.00048702	 	0.13587858
size	 	 	13	280	0.00048702	 	0.1363656
kept	 	 	13	281	0.00048702	 	0.13685262
yes	 	 	13	282	0.00048702	 	0.13733964
people	 	 	13	283	0.00048702	 	0.13782666
dance	 	 	13	284	0.00048702	 	0.13831368
cook	 	 	13	285	0.00048702	 	0.1388007
may	 	 	13	286	0.00048702	 	0.13928772
grow	 	 	13	287	0.00048702	 	0.13977474
still	 	 	13	288	0.00048702	 	0.14026176
begin	 	 	13	289	0.00048702	 	0.14074878
where	 	 	13	290	0.00048702	 	0.1412358
cats	 	 	13	291	0.00048702	 	0.14172282
they're	 	 	13	292	0.00048702	 	0.14220984
gone	 	 	13	293	0.00048702	 	0.14269686
suddenly	 	 	13	294	0.00048702	 	0.14318388
beautiful	 	 	13	295	0.00048702	 	0.1436709
footman	 	 	13	296	0.00048702	 	0.14415792
always	 	 	13	297	0.00048702	 	0.14464494
really	 	 	13	298	0.00048702	 	0.14513196
behind	 	 	13	299	0.00048702	 	0.14561898
close	 	 	13	300	0.00048702	 	0.146106
wouldn't	 	 	13	301	0.00048702	 	0.14659302
whole	 	 	13	302	0.00048702	 	0.14708004
bill	 	 	13	303	0.00048702	 	0.14756706
used	 	 	13	304	0.00048702	 	0.14805408
far	 	 	13	305	0.00048702	 	0.1485411
every	 	 	12	306	0.00044956	 	0.13756536
give	 	 	12	307	0.00044956	 	0.13801492
turning	 	 	12	308	0.00044956	 	0.13846448
queer	 	 	12	309	0.00044956	 	0.13891404
best	 	 	12	310	0.00044956	 	0.1393636
life	 	 	12	311	0.00044956	 	0.13981316
deal	 	 	12	312	0.00044956	 	0.14026272
everything	 	 	12	313	0.00044956	 	0.14071228
chapter	 	 	12	314	0.00044956	 	0.14116184
many	 	 	12	315	0.00044956	 	0.1416114
among	 	 	12	316	0.00044956	 	0.14206096
hardly	 	 	12	317	0.00044956	 	0.14251052
pigeon	 	 	12	318	0.00044956	 	0.14296008
majesty	 	 	12	319	0.00044956	 	0.14340964
try	 	 	12	320	0.00044956	 	0.1438592
game	 	 	12	321	0.00044956	 	0.14430876
hands	 	 	12	322	0.00044956	 	0.14475832
afraid	 	 	12	323	0.00044956	 	0.14520788
finished	 	 	12	324	0.00044956	 	0.14565744
alice's	 	 	12	325	0.00044956	 	0.146107
i'd	 	 	11	326	0.00041209	 	0.13434134
turn	 	 	11	327	0.00041209	 	0.13475343
mind	 	 	11	328	0.00041209	 	0.13516552
though	 	 	11	329	0.00041209	 	0.13557761
child	 	 	11	330	0.00041209	 	0.1359897
growing	 	 	11	331	0.00041209	 	0.13640179
hurried	 	 	11	332	0.00041209	 	0.13681388
waited	 	 	11	333	0.00041209	 	0.13722597
tears	 	 	11	334	0.00041209	 	0.13763806
nearly	 	 	11	335	0.00041209	 	0.13805015
thinking	 	 	11	336	0.00041209	 	0.13846224
read	 	 	11	337	0.00041209	 	0.13887433
wasn't	 	 	11	338	0.00041209	 	0.13928642
pool	 	 	11	339	0.00041209	 	0.13969851
ask	 	 	11	340	0.00041209	 	0.1401106
hurry	 	 	11	341	0.00041209	 	0.14052269
glad	 	 	11	342	0.00041209	 	0.14093478
gloves	 	 	11	343	0.00041209	 	0.14134687
else	 	 	11	344	0.00041209	 	0.14175896
makes	 	 	11	345	0.00041209	 	0.14217105
keep	 	 	11	346	0.00041209	 	0.14258314
dinah	 	 	11	347	0.00041209	 	0.14299523
whether	 	 	11	348	0.00041209	 	0.14340732
minutes	 	 	11	349	0.00041209	 	0.14381941
pig	 	 	11	350	0.00041209	 	0.1442315
book	 	 	11	351	0.00041209	 	0.14464359
glass	 	 	10	352	0.00037463	 	0.13186976
hold	 	 	10	353	0.00037463	 	0.13224439
sitting	 	 	10	354	0.00037463	 	0.13261902
mean	 	 	10	355	0.00037463	 	0.13299365
mine	 	 	10	356	0.00037463	 	0.13336828
mouth	 	 	10	357	0.00037463	 	0.13374291
explain	 	 	10	358	0.00037463	 	0.13411754
box	 	 	10	359	0.00037463	 	0.13449217
birds	 	 	10	360	0.00037463	 	0.1348668
name	 	 	10	361	0.00037463	 	0.13524143
opened	 	 	10	362	0.00037463	 	0.13561606
yourself	 	 	10	363	0.00037463	 	0.13599069
those	 	 	10	364	0.00037463	 	0.13636532
bottle	 	 	10	365	0.00037463	 	0.13673995
rest	 	 	10	366	0.00037463	 	0.13711458
remarked	 	 	10	367	0.00037463	 	0.13748921
children	 	 	10	368	0.00037463	 	0.13786384
fan	 	 	10	369	0.00037463	 	0.13823847
small	 	 	10	370	0.00037463	 	0.1386131
creatures	 	 	10	371	0.00037463	 	0.13898773
offended	 	 	10	372	0.00037463	 	0.13936236
foot	 	 	10	373	0.00037463	 	0.13973699
heads	 	 	10	374	0.00037463	 	0.14011162
lessons	 	 	10	375	0.00037463	 	0.14048625
sight	 	 	10	376	0.00037463	 	0.14086088
either	 	 	10	377	0.00037463	 	0.14123551
word	 	 	10	378	0.00037463	 	0.14161014
walked	 	 	10	379	0.00037463	 	0.14198477
having	 	 	10	380	0.00037463	 	0.1423594
you'd	 	 	10	381	0.00037463	 	0.14273403
remark	 	 	10	382	0.00037463	 	0.14310866
witness	 	 	10	383	0.00037463	 	0.14348329
repeated	 	 	10	384	0.00037463	 	0.14385792
soldiers	 	 	10	385	0.00037463	 	0.14423255
party	 	 	10	386	0.00037463	 	0.14460718
own	 	 	10	387	0.00037463	 	0.14498181
angrily	 	 	9	388	0.00033717	 	0.13082196
join	 	 	9	389	0.00033717	 	0.13115913
serpent	 	 	9	390	0.00033717	 	0.1314963
want	 	 	9	391	0.00033717	 	0.13183347
answer	 	 	9	392	0.00033717	 	0.13217064
croquet	 	 	9	393	0.00033717	 	0.13250781
matter	 	 	9	394	0.00033717	 	0.13284498
butter	 	 	9	395	0.00033717	 	0.13318215
call	 	 	9	396	0.00033717	 	0.13351932
together	 	 	9	397	0.00033717	 	0.13385649
leave	 	 	9	398	0.00033717	 	0.13419366
shook	 	 	9	399	0.00033717	 	0.13453083
hall	 	 	9	400	0.00033717	 	0.134868
shouted	 	 	9	401	0.00033717	 	0.13520517
couldn't	 	 	9	402	0.00033717	 	0.13554234
different	 	 	9	403	0.00033717	 	0.13587951
puzzled	 	 	9	404	0.00033717	 	0.13621668
knave	 	 	9	405	0.00033717	 	0.13655385
tail	 	 	9	406	0.00033717	 	0.13689102
rate	 	 	9	407	0.00033717	 	0.13722819
coming	 	 	9	408	0.00033717	 	0.13756536
help	 	 	9	409	0.00033717	 	0.13790253
reason	 	 	9	410	0.00033717	 	0.1382397
least	 	 	9	411	0.00033717	 	0.13857687
believe	 	 	9	412	0.00033717	 	0.13891404
timidly	 	 	9	413	0.00033717	 	0.13925121
continued	 	 	9	414	0.00033717	 	0.13958838
waiting	 	 	9	415	0.00033717	 	0.13992555
few	 	 	9	416	0.00033717	 	0.14026272
conversation	 	 	9	417	0.00033717	 	0.14059989
interrupted	 	 	9	418	0.00033717	 	0.14093706
key	 	 	9	419	0.00033717	 	0.14127423
against	 	 	9	420	0.00033717	 	0.1416114
does	 	 	9	421	0.00033717	 	0.14194857
four	 	 	8	422	0.0002997	 	0.1264734
dry	 	 	8	423	0.0002997	 	0.1267731
changed	 	 	8	424	0.0002997	 	0.1270728
moral	 	 	8	425	0.0002997	 	0.1273725
work	 	 	8	426	0.0002997	 	0.1276722
story	 	 	8	427	0.0002997	 	0.1279719
each	 	 	8	428	0.0002997	 	0.1282716
top	 	 	8	429	0.0002997	 	0.1285713
distance	 	 	8	430	0.0002997	 	0.128871
tree	 	 	8	431	0.0002997	 	0.1291707
seem	 	 	8	432	0.0002997	 	0.1294704
eagerly	 	 	8	433	0.0002997	 	0.1297701
exactly	 	 	8	434	0.0002997	 	0.1300698
appeared	 	 	8	435	0.0002997	 	0.1303695
mushroom	 	 	8	436	0.0002997	 	0.1306692
opportunity	 	 	8	437	0.0002997	 	0.1309689
hearts	 	 	8	438	0.0002997	 	0.1312686
fact	 	 	8	439	0.0002997	 	0.1315683
it'll	 	 	8	440	0.0002997	 	0.131868
hadn't	 	 	8	441	0.0002997	 	0.1321677
everybody	 	 	8	442	0.0002997	 	0.1324674
live	 	 	8	443	0.0002997	 	0.1327671
making	 	 	8	444	0.0002997	 	0.1330668
window	 	 	8	445	0.0002997	 	0.1333665
happen	 	 	8	446	0.0002997	 	0.1336662
place	 	 	8	447	0.0002997	 	0.1339659
bright	 	 	8	448	0.0002997	 	0.1342656
wood	 	 	8	449	0.0002997	 	0.1345653
asleep	 	 	8	450	0.0002997	 	0.134865
running	 	 	8	451	0.0002997	 	0.1351647
slowly	 	 	8	452	0.0002997	 	0.1354644
fish	 	 	8	453	0.0002997	 	0.1357641
followed	 	 	8	454	0.0002997	 	0.1360638
gardeners	 	 	8	455	0.0002997	 	0.1363635
haven't	 	 	8	456	0.0002997	 	0.1366632
hard	 	 	8	457	0.0002997	 	0.1369629
feel	 	 	8	458	0.0002997	 	0.1372626
